common_name,scientific_name,kingdom,phylum,class,order,family,genus,habitat,diet,lifespan_wild,lifespan_captivity,weight_kg,conservation_status,population_trend,geographic_range,interesting_fact,threats,description,lipaspan_captivity,lipaspan_wild
Marino,Unidentified species,Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Evaluated,Unknown,Unknown,This class corresponds to training data labelled 'Marino' in the dataset. The exact species identity is uncertain based on the class name alone.,Unknown,This is a dataset class labelled 'Marino'. Species data is unavailable as this may correspond to a specific regional or colloquial name for an animal not yet identified in the database.,,
Mestra,Mestra amymone,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Mestra,"Open disturbed areas, roadsides, stream edges",Herbivore (larvae) — noseburn (Tragia); Adults — various flowers,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,South Texas through Central America to Argentina,"The common mestra is a highly nomadic butterfly, ranging much further north than its typical range during warm summer periods. It regularly colonises southern Texas in large numbers during warm years, then retreats south with cold weather.",Habitat loss,"The common mestra is a medium-sized, white and orange butterfly. Its wings are white above with orange-brown borders and patches, and pale peach-cream with darker veining below. It has a leisurely, drifting flight.",N/A,
Metalmark,Calephelis nemesis,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Calephelis,"Streamside areas, washes, weedy fields in arid regions",Herbivore (larvae) — seep willow (Baccharis); Adults — flowers,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,"Southern US, Mexico","Metalmark butterflies always rest with their wings spread flat open — unlike most butterflies that fold their wings above their bodies. This keeps the metallic wing spots visible, which may deter predators or aid in thermoregulation.","Habitat loss, water management changes",The fatal metalmark is a small butterfly with warm reddish-brown wings patterned with dark spots and fine metallic silver-grey spots near the wing margins — giving metalmarks their name. It holds its wings flat open when resting.,N/A,
Milberts Tortoiseshell,Aglais milberti,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,"Meadows, forest edges, roadsides, mountains","Herbivore (larvae) — nettles; Adults — nectar, sap, rotting fruit",Up to 1 year (overwinters as adult),N/A,<0.001 kg,Least Concern,Stable,"North America, primarily northern regions and mountains","Milbert's tortoiseshell is one of the first butterflies to emerge in spring in cold climates because it overwinters as an adult butterfly — sheltering in rock crevices, buildings, and hollow logs — and emerges to fly on warm days even in early February.","Nettle removal, habitat loss","Milbert's tortoiseshell has dark brown wings with a vivid orange-yellow submarginal band, blue spots along the outer margins, and pale blue spots at the forewing tips. The underside is cryptically dark, providing camouflage at rest.",,
Mole,Talpa europaea,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa,"Deciduous forests, grasslands, gardens, farmlands","Carnivore — earthworms, insects, grubs",2–6 years,Up to 6 years,0.07–0.13 kg,Least Concern,Stable,Europe and Northern Asia,Moles can detect the electrical fields of earthworms through receptors in their snout called Eimer's organs. Their blood also has special haemoglobin that allows them to reuse exhaled oxygen in low-oxygen tunnels.,"Trapping, pesticide use (affecting prey)","The European mole is a small, dark-grey to black mammal with a cylindrical body, velvety fur, large front paws with long claws for digging, and tiny eyes almost hidden beneath its fur. It spends most of its life underground.",,
Monarch,Danaus plexippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,"Meadows, fields, marshes, roadsides — wherever milkweed grows",Herbivore (larvae) — milkweed; Adults — nectar,6–8 months (migratory generation); 2–6 weeks (summer),N/A,<0.001 kg,Endangered,Decreasing,North America; migrates to Mexico and California,"The monarch butterfly undertakes one of the most remarkable migrations on Earth — up to 4,500 km from Canada and northern US to overwintering sites in Mexico. No individual makes the full round trip; it takes 3–4 generations, but descendants navigate back to the same specific trees.","Milkweed loss, climate change, deforestation of overwintering sites, pesticides","The monarch butterfly has vivid orange wings with black vein patterns and white-spotted black borders. Its larvae feed exclusively on milkweed, sequestering toxic cardenolides that make the butterfly distasteful to most predators.",,
Mongoose,Herpestes ichneumon,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,"Savannas, forests, scrublands, rocky areas","Carnivore — snakes, rodents, eggs, insects, frogs",6–10 years,Up to 20 years,0.3–5 kg,Least Concern,Stable,"Africa, Asia, southern Europe","Mongooses are famous for their ability to fight and kill venomous snakes. They have mutated acetylcholine receptors that make them partially resistant to cobra venom, allowing them to survive bites that would kill other animals.","Habitat loss, pest control poisoning","The Egyptian mongoose has a long body, short legs, pointed muzzle, and a bushy tail. Its coarse fur is greyish-brown with black-tipped guard hairs. It is bold, fast, and an adept predator of reptiles.",,
Monkey,Cercopithecidae spp.,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Various,"Tropical forests, savannas, mountains","Omnivore — fruit, leaves, insects, small animals",10–30 years,Varies by species,0.1–40 kg (varies),Varies by species,Decreasing,"Africa, Asia, Central and South America","Monkeys use sophisticated calls and facial expressions to communicate within social groups. Some species have been observed making and using rudimentary tools similar to, but less complex than, great ape tool use.","Deforestation, hunting, illegal pet trade","Monkeys are a large group of primates, typically distinguished from apes by having tails. Old World monkeys (Africa, Asia) tend to have non-prehensile tails; New World monkeys (Americas) often have prehensile tails for gripping.",,
Mosquito,Culex pipiens,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,"Stagnant water, marshes, urban areas worldwide",Females: blood; Males: nectar and plant sugars,2 weeks–1 month,N/A,<0.001 kg,Least Concern,Stable,Worldwide,"Mosquitoes are the deadliest animals on Earth — responsible for more human deaths than any other organism. They transmit malaria, dengue, Zika, yellow fever, and West Nile virus. However, only female mosquitoes bite; males feed exclusively on plant nectar.",None — abundant; subject to control programs,"The common house mosquito is a small, slender fly with scales on its wings and body, a long proboscis, and long, slender legs. Its wings produce the characteristic high-pitched whine. Females need a blood meal to produce eggs.",,
Mourning Cloak,Nymphalis antiopa,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis,"Deciduous woodlands, parks, gardens, roadsides","Herbivore (larvae) — willow, elm, birch, poplar; Adults — sap, rotting fruit, occasionally flowers",Up to 1 year (one of the longest-lived butterflies),N/A,<0.001 kg,Least Concern,Stable,North America and Europe,"The mourning cloak is one of the longest-lived butterflies in the world, surviving up to 10–11 months as an adult. It overwinters in tree crevices and emerges on warm winter days, often being one of the first butterflies seen in late winter.",Habitat loss,"The mourning cloak is a large, distinctive butterfly with dark maroon wings edged with a band of bright yellow-cream bordered by blue spots. The underside is cryptically streaked dark brown. Its angular wing shape adds to its dramatic appearance.",,
Mouse,Mus musculus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,"Fields, forests, homes, urban areas","Omnivore — seeds, grains, fruit, insects",1 year,2–3 years,0.012–0.030 kg,Least Concern,Stable,Worldwide,"House mice are so small and flexible that they can squeeze through any gap larger than 6 mm — roughly the diameter of a pencil. They can also jump 46 cm, swim, and run along thin ropes and wires.","Cats, traps, pesticides (for house mice)","The house mouse is a small rodent with large ears, small eyes, a pointed snout, and a long hairless or sparsely haired tail. It is one of the most ubiquitous mammals on Earth, having spread worldwide by travelling with humans.",,
Ocelot,Leopardus pardalis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,"Tropical rainforests, mangroves, dry forests, scrublands","Carnivore — rodents, rabbits, iguanas, fish, frogs",8–11 years,Up to 20 years,7–16 kg,Least Concern,Stable,Southern US through Central and South America,Ocelots are largely nocturnal and are excellent swimmers. They mark their territories with urine and have overlapping home ranges between males and females but not between same-sex individuals.,"Habitat loss, road kills, fur trade (historically)","The ocelot is a small wild cat with a tawny to grey coat marked with black-bordered brown spots and longitudinal streaks. It is primarily nocturnal and arboreal, using its superb night vision to hunt prey.",,
Oleander Hawk Moth,Daphnis nerii,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Daphnis,"Gardens, scrubland, forests with oleander","Herbivore (larvae) — oleander, periwinkle; Adults — nectar from deep flowers",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,"Africa, Europe, Asia","The oleander hawk-moth is one of the world's most spectacularly beautiful moths, with intricate camouflage colouring on its wings. Its larvae (which feed on toxic oleander) are equally dramatic — bright green with false eyespots that mimic a snake head.",Habitat loss,"The oleander hawk-moth has exquisitely detailed wing patterns blending streaks, mottles, and patches of pink, green, and white — resembling crumpled leaves or tree bark. This cryptic camouflage makes it nearly invisible when resting on foliage.",N/A,
Orange Oakleaf,Kallima inachus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Kallima,Tropical forests and forest edges,"Herbivore (larvae) — various plants; Adults — rotting fruit, sap, flowers",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,South and Southeast Asia,"The orange oakleaf butterfly has the most celebrated camouflage in the insect world. When wings are closed, it is indistinguishable from a dead leaf — complete with simulated midrib, veins, and even 'fungal spots', 'bite marks', and colour variation across individuals.",Deforestation,"Upperside wings are brilliant blue and vivid orange with white spots — spectacular in flight. But when the butterfly lands and closes its wings, the underside reveals a perfect dead leaf simulacrum, including a petiole-like projection at the wing base.",N/A,
Orange Tip,Anthocharis cardamines,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anthocharis,"Woodland rides, meadows, hedgerows, river banks","Herbivore (larvae) — cuckoo flower, garlic mustard; Adults — nectar",1 year (lifecycle),,<0.001 kg,Least Concern,Increasing,Europe and temperate Asia,"Only male orange tips have the bright orange wingtips. Females are white with black tips, mimicking other white butterflies to avoid harassment by males of other species. Both sexes have beautiful green and white marbled underwings that camouflage them perfectly on garlic mustard flowerheads.","Loss of hedgerows, over-tidying of roadsides removing host plants",The orange tip is a medium-sized white butterfly. Males have distinctive bright orange tips to their white forewings. The hindwing underside is marbled green and white — providing camouflage when resting among vegetation.,N/A,
Orchard Swallow,Papilio aegeus,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,"Forest margins, orchards, gardens of eastern Australia",Herbivore (larvae) — citrus plants; Adults — nectar,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Eastern Australia and New Guinea,"The orchard swallowtail is one of Australia's most common large butterflies and has benefited from the spread of citrus cultivation — its larvae feed on citrus leaves, making it a minor pest in orchards while also being a beloved garden butterfly.",Pesticide use on citrus,"The orchard swallowtail shows strong sexual dimorphism. Males are black with white spots forming bands across the wings. Females are polymorphic with brown, orange, and white patterning that varies between individuals and mimics the toxic pipevine swallowtail.",N/A,
Ostrich,Struthio camelus,Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,"Savannas, woodlands, desert areas","Omnivore — plants, seeds, insects, small reptiles",30–40 years,Up to 62 years,63–145 kg,Least Concern,Stable,Africa,"The ostrich is the world's largest and heaviest bird, and lays the largest eggs of any living animal. Despite being flightless, it can run at 70 km/h — faster than any other bird — and sustain 50 km/h for long distances.","Habitat loss, hunting, egg collecting","The ostrich has long, powerful legs, a long neck, and a small feathered head with large eyes — the largest eyes of any land animal. Males have distinctive black and white plumage; females are greyish-brown.",,
Otter,Lutra lutra,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,"Rivers, lakes, estuaries, coastal areas","Carnivore — fish, crustaceans, frogs, waterbirds",8–10 years,Up to 20 years,5–12 kg,Near Threatened,Stable,"Europe, Asia, North Africa","Sea otters use rocks as tools to crack open shellfish, floating on their backs and balancing the shells on their chests. They also hold hands while sleeping to prevent drifting apart from their group.","Pollution, habitat loss, accidental drowning in fish traps","The Eurasian otter is a streamlined semiaquatic mammal with a long body, short legs, webbed feet, and a powerful tapered tail. Its dense, waterproof fur traps air to provide buoyancy and insulation in cold water.",,
Owl,Strix aluco,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,"Woodlands, forests, parks, orchards, farmland","Carnivore — rodents, small birds, rabbits, insects",5–18 years,Up to 27 years,0.3–0.8 kg,Least Concern,Stable,"Europe, Western Asia","Owls cannot move their eyeballs — their eyes are fixed in their sockets. To compensate, owls can rotate their heads up to 270 degrees, thanks to a specialised blood-pooling system that keeps the brain supplied as the neck twists.","Habitat loss, rodenticide poisoning, vehicle strikes","The tawny owl is the most common owl in Europe. It has a rounded head without ear tufts, mottled brown plumage, and large dark eyes. Its classic 'twit-twoo' call is actually a duet between male and female.",,
Painted Lady,Vanessa cardui,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,"Open habitats worldwide — fields, gardens, roadsides, meadows","Herbivore (larvae) — thistles, mallows, nettles; Adults — various flowers",2 weeks–1 month (varies),N/A,<0.001 kg,Least Concern,Stable,Worldwide — the most widely distributed butterfly on Earth,"The painted lady makes one of the longest migrations of any butterfly — up to 15,000 km from sub-Saharan Africa to the Arctic Circle and back, across multiple generations. The full round trip was only confirmed in 2021 using chemical analysis of wing scales.",Minimal — extremely abundant; population fluctuates with thistle availability,"The painted lady has orange and black patterned wings with white spots near the forewing tip. It is smaller than a monarch but similarly patterned. The underside has a beautiful mottled pattern of browns, whites, and small blue eyespots.",,
Panda,Ailuropoda melanoleuca,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda,Mountain bamboo forests,Herbivore — bamboo (99% of diet),15–20 years,Up to 38 years,70–125 kg,Vulnerable,Increasing,"Sichuan, Shaanxi and Gansu provinces, China","Giant pandas have a thumb-like extension of their wrist bone that acts like a sixth finger, allowing them to grip bamboo stalks. A panda can eat 12–38 kg of bamboo every day.","Habitat fragmentation, climate change affecting bamboo","The giant panda is a bear species endemic to China, easily recognised by its bold black-and-white colouring. Despite being in the order Carnivora, it eats almost exclusively bamboo and has evolved special adaptations for this fibrous diet.",,
Paper Kite,Idea leuconoe,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Idea,"Mangrove forests, lowland forests, coastal areas",Herbivore (larvae) — Parsonsia vines; Adults — flowers,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,"Southeast Asia, Philippines, Taiwan, coastal Australia","The paper kite butterfly has a remarkably slow, floating flight — beating its wings at a leisurely pace and drifting on air currents like a leaf. This behaviour is believed to be related to its unpalatability — it makes no attempt to flee predators.",Deforestation,"The paper kite is a large butterfly — one of the biggest in Asia — with white wings decorated with intricate black vein patterns and black spots of varying sizes. It has an elegant, unhurried, floating flight through forest canopy.",N/A,
Parrot,Amazona amazonica,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,"Tropical forests, woodlands, mangroves","Herbivore — fruit, seeds, nuts, flowers, leaves",25–35 years,Up to 80 years,0.25–0.55 kg,Least Concern,Decreasing,"Trinidad and Tobago, northeast Venezuela, Guianas, northern Brazil",Parrots can mimic human speech because they can modify their vocal tracts in a complex way similar to humans. African grey parrots have demonstrated cognitive abilities comparable to those of a 5-year-old child.,"Deforestation, capture for pet trade","The orange-winged Amazon parrot is a predominantly green parrot with blue and yellow feathers on its head and orange wing speculum. It is vocal, intelligent, and forms strong social bonds with mates and flock members.",,
Peacock,Pavo cristatus,Animalia,Chordata,Aves,Galliformes,Phasianidae,Pavo,"Dry and moist deciduous forests, farmlands, gardens","Omnivore — seeds, insects, berries, reptiles",15–20 years,Up to 25 years,4–6 kg,Least Concern,Stable,"South Asia (India, Sri Lanka)",The peacock's spectacular tail train (the fan of iridescent feathers) can be up to 1.8 m long — longer than the bird's body. The 'eyes' in the train are used to attract peahens during mating displays.,"Habitat loss, hunting, predation","The Indian peafowl is a large, brightly coloured bird. The male (peacock) has iridescent blue-green plumage and an extravagant train of decorative tail feathers with eyespots. The female (peahen) is brown and less showy.",,
Penguin,Spheniscus demersus,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,"Cold coastal waters, rocky shorelines, islands","Carnivore — fish, squid, krill",10–15 years,Up to 30 years,2.2–3.5 kg,Endangered,Decreasing,"Coastal regions of Africa (Namibia, South Africa)","African penguins are the only penguin species that breeds in Africa. They communicate with donkey-like brays, earning them the nickname 'jackass penguin'. Each individual has a unique chest spot pattern.","Oil spills, overfishing reducing prey, climate change","The African penguin has black-and-white plumage with a distinctive black facial mask and a band of black spots across the white chest. Flightless in air, it is an exceptional underwater swimmer capable of reaching 20 km/h.",,
Pig,Sus scrofa domesticus,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,"Farmlands, forests (domesticated)","Omnivore — roots, grain, fruit, insects, small animals",8–15 years,15–20 years,50–350 kg,Not Evaluated,Stable,Worldwide (domesticated),"Pigs are considered among the most intelligent animals on Earth, with cognitive abilities comparable to a 3-year-old child. They can learn their own name, play video games using joysticks, and solve complex puzzles.",None — domesticated,"The domestic pig is a medium-large omnivorous mammal descended from the wild boar. It has a barrel-shaped body, snout adapted for rooting, and sparse hair. Pigs are highly social and communicate with a complex array of grunts and squeals.",,
Pine White,Neophasia menapia,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Neophasia,"Coniferous forests, pine and fir forests of western mountains","Herbivore (larvae) — pine, Douglas fir needles; Adults — nectar",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Western North America,Pine white butterflies have outbreak years when caterpillar populations explode and can defoliate large areas of pines. The adults fill the forest during such outbreaks — they can be so numerous that they appear like white snowflakes drifting through the trees.,Forest management practices,"The pine white is a small, white butterfly with black forewing borders and black wing veins. Females have orange hindwing underside veining. It flies high in the pine forest canopy — most easily seen from a distance as pale specks drifting through the trees.",N/A,
Pipevine Swallow,Battus philenor,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Battus,"Deciduous forests, woodland edges, fields, gardens","Herbivore (larvae) — pipevine (Aristolochia); Adults — nectar, wet sand",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,North America (mostly south of latitude 45°N),The pipevine swallowtail is one of North America's most important model species — at least six other butterfly species mimic its appearance to gain protection from predators. Its toxicity from pipevine aristolochic acids makes it genuinely distasteful.,Loss of native pipevine plants,The pipevine swallowtail has iridescent blue-green on its hindwing upperside and a row of orange spots on the hindwing underside. The underside of the hindwing is blue-black with orange and iridescent blue patches — one of the most striking undersides of any swallowtail.,N/A,
Polar Bear,Ursus maritimus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,"Arctic sea ice, coastlines, open ocean","Carnivore — seals, walrus, beluga whales, carrion",20–30 years,Up to 45 years,350–700 kg,Vulnerable,Decreasing,Arctic Circle and surrounding seas,"Polar bears' fur appears white but is actually transparent — each hollow hair shaft scatters light, creating the appearance of white. Their skin underneath is black to absorb heat from the sun.","Climate change (melting sea ice), pollution, overhunting (historically)","The polar bear is the world's largest land carnivore. Superbly adapted to the Arctic, it has thick subcutaneous fat, dense waterproof fur, and large paws that act as paddles for swimming long distances between ice floes.",,
Polyphemus Moth,Antheraea polyphemus,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea,Deciduous and mixed forests of North America,"Herbivore (larvae) — oak, birch, maple, willow; Adults — cannot eat",,N/A,<0.001 kg,Least Concern,Decreasing,North America,"The polyphemus moth's large eyespots are named after the one-eyed cyclops Polyphemus of Greek mythology. When disturbed, the moth reveals these spots — which resemble owl eyes — to startle predators. The spots are so convincing that even experienced naturalists are initially startled.","Light pollution (male moths fly toward lights instead of toward females, disrupting mating)","The polyphemus moth is a large, tan-to-reddish-brown moth with a wingspan up to 15 cm. Each hindwing has a large, transparent eyespot ringed in blue, black, yellow, and pink — among the most striking of any North American moth.",,1 week (adult)
Popinjay,Stibochiona nicea,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Stibochiona,Tropical forests of South and Southeast Asia,"Herbivore (larvae) — various plants; Adults — rotting fruit, sap",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,South and Southeast Asia,"The popinjay is named for the popinjay (an archaic word for parrot), reflecting its bright, multicoloured wing patterns. Males are highly territorial and engage in dramatic aerial displays to defend their sunny forest clearings from rivals.",Deforestation,"The popinjay is a medium-sized butterfly with dark wings decorated with vivid blue-white spots and bands. The pattern is complex and varies between subspecies across its range. It has a fast, erratic flight through the forest.",N/A,
Porcupine,Hystrix cristata,Animalia,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,"Rocky areas, hillsides, forests, steppes","Herbivore — bark, roots, tubers, fruits, bulbs",5–7 years,Up to 20 years,10–27 kg,Least Concern,Stable,"Africa, Italy, parts of Asia","Porcupines cannot shoot their quills — this is a myth. When threatened, they charge backward into predators, embedding the quills. The quills are modified hairs with microscopic barbs that anchor them into flesh.","Habitat loss, hunting for bushmeat and quills","The African crested porcupine is the world's largest porcupine. It is covered in long, sharp black-and-white quills that it rattles as a warning. When attacked, it reverses into the predator with remarkable speed.",,
Puma,Puma concolor,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,"Mountains, forests, deserts, wetlands, grasslands","Carnivore — deer, elk, livestock, smaller prey",8–13 years,Up to 21 years,29–120 kg,Least Concern,Decreasing,Western North America through most of South America,"Pumas hold the Guinness World Record for the mammal with the most common names: cougar, mountain lion, panther, catamount — over 40 names in English alone. Despite their size, they are more closely related to small cats than to big cats and cannot roar.","Habitat loss, vehicle strikes, persecution","The puma (also called cougar or mountain lion) is a large felid with an unmarked tawny coat, white underparts, and a long, rounded tail. It is the most widespread large wild terrestrial mammal in the Western Hemisphere.",,
Purple Hairstreak,Favonius quercus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Favonius,Oak woodland canopy,Herbivore (larvae) — oak leaves; Adults — honeydew (from aphids),1 year (lifecycle),,<0.001 kg,Least Concern,Decreasing,"Europe, parts of Asia","The purple hairstreak spends most of its life in the oak tree canopy and is easily missed — it rarely descends below the treetops. Unlike most butterflies, it feeds primarily on honeydew secreted by aphids rather than on nectar from flowers.",Loss of mature oak woodland,"The purple hairstreak has deep blue-purple iridescent upperside wings (most vivid in males), and pale grey underwings with a white hairstreak line and orange eyespot. It flies around oak crowns in August, often visible only as glinting specks in the treetops.",N/A,
Purplish Copper,Lycaena helloides,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,"Moist meadows, marshes, streamsides, wetlands",Herbivore (larvae) — docks and knotweeds; Adults — various flowers,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Western North America,Copper butterflies are named for the metallic copper sheen on their wings — created not by copper pigment but by structural colour. The purplish copper has an unusual purplish iridescence in males that changes with the viewing angle.,"Wetland loss, overgrazing of host plants",The purplish copper is a small butterfly. Males have coppery-orange to purplish upperwings with dark spots and an orange zigzag border. Females are more orange. Underwings are pale orange-grey with dark spots and an orange border.,N/A,
Question Mark,Polygonia interrogationis,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia,"Wooded areas, city parks, forest edges, stream corridors","Herbivore (larvae) — elm, nettle, hackberry; Adults — rotting fruit, sap, dung, seldom flowers",Up to 1 year (overwinters as adult),N/A,<0.001 kg,Least Concern,Stable,Eastern North America,"The question mark butterfly is named for the silver mark on its hindwing underside, which consists of a comma-curved mark plus a separate dot — forming a question mark (?) shape. Its close relative, the eastern comma, has only the curved mark.",Habitat loss,"The question mark has angular, ragged-edged orange and black wings. The underside is cryptically bark-like. There are two seasonal forms — the summer form has predominantly black hindwings; the winter form is more orange. Both have the silver question mark on the hindwing underside.",,
Rabbit,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,"Grasslands, scrublands, forests, farmlands","Herbivore — grass, hay, vegetables, tree bark",1–2 years,8–12 years,0.4–2 kg,Near Threatened,Decreasing,"Europe, North Africa; introduced worldwide",Rabbits eat their own droppings — a practice called caecotrophy. The first set of droppings (caecotropes) are nutrient-rich soft pellets that are re-ingested directly from the anus to extract maximum nutrition from their food.,"Myxomatosis, rabbit haemorrhagic disease, habitat loss, predators","The European rabbit is a small mammal with long ears, a short fluffy tail, and powerful hind legs for running and jumping. It lives in social underground burrow systems called warrens and is one of the most widely distributed mammals worldwide.",,
Raccoon,Procyon lotor,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,"Forests, marshes, prairies, urban areas","Omnivore — fruits, nuts, insects, frogs, fish, human food",2–3 years,Up to 20 years,3.5–9 kg,Least Concern,Increasing,"North America, introduced in Europe and Japan","Raccoons have extremely dexterous front paws with four times more sensory cells than the rest of their body. They can unlock gates, open jars, and even turn doorknobs. Their 'washing' behaviour in water heightens their sense of touch.","Road traffic, trapping, hunting","The raccoon has distinctive black facial markings resembling a mask, a bushy tail with alternating black and grey rings, and greyish-brown fur. It is extraordinarily adaptable and has thrived in urban environments.",,
Red Admiral,Vanessa atalanta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,"Woodland edges, gardens, parks, hedgerows","Herbivore (larvae) — stinging nettles; Adults — rotting fruit, ivy flowers, sap",9–10 months,N/A,<0.001 kg,Least Concern,Stable,"Europe, North Africa, parts of Asia, North America","Red admirals are famous for their tolerance of rotting fruit and are often found feeding at fallen apples in autumn, sometimes becoming noticeably intoxicated. They are very territorial males that return repeatedly to the same sunny spots.",Minimal — common; some population decline in northern Europe,"The red admiral is one of the most recognisable European butterflies, with velvety black wings crossed by vivid red-orange bands and tipped with white spots. The underside has intricate blue, black, and rust-brown patterning.",,
Red Cracker,Hamadryas amphinome,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hamadryas,"Tropical and subtropical dry forests, forest edges","Herbivore (larvae) — Croton plants; Adults — rotting fruit, sap, dung",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Texas through Central America to South America,Cracker butterflies are the only butterflies known to make audible sounds. Males produce a cracking or clicking sound with their wings during territorial aerial pursuits of rivals — the mechanism of sound production has been debated for over a century and is still not fully understood.,Deforestation,"The red cracker has dark bluish-grey wings intricately patterned with red, white, and black markings. At rest with wings folded on a tree trunk, it is almost perfectly camouflaged. Males perch head-down on tree trunks and defend territories.",N/A,
Red Postman,Heliconius erato,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,"Tropical forests, forest edges, gardens","Herbivore (larvae) — passionflower vines; Adults — nectar, pollen",Up to 6 months,,<0.001 kg,Least Concern,Stable,Central and South America,"Heliconius erato and Heliconius melpomene are perhaps the world's most studied example of Müllerian mimicry — two toxic, unrelated species that have converged on identical wing patterns across their range. Across 29 geographic areas, each pair has evolved a distinct pattern convergently.",Deforestation,"The red postman typically has black wings with a broad red band on the forewing and yellow on the hindwing, though it varies dramatically across its range. It has a slow, drifting flight and is recognised by predators as toxic throughout its range.",N/A,
Red Spotted Purple,Limenitis arthemis astyanax,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,"Deciduous forests, woodland edges, roadsides","Herbivore (larvae) — wild cherry, poplar, willow; Adults — sap, rotting fruit, dung",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Eastern North America,"The red-spotted purple is a subspecies of the white admiral that, through evolutionary pressure, has lost its white band and evolved a colour pattern mimicking the toxic pipevine swallowtail. It is a classic North American example of Batesian mimicry.",Minimal — common and widespread,"The red-spotted purple has broad, blue-iridescent wings above with red-orange spots on the wing underside. There is no white band (unlike its close relative the white admiral). It closely mimics the pipevine swallowtail in both wing shape and colour.",N/A,
Rhino,Ceratotherium simum,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,"Grasslands, savannas, shrublands","Herbivore — grasses, shrubs, branches",40–50 years,Up to 55 years,"1,440–3,600 kg",Near Threatened,Increasing,"Sub-Saharan Africa (South Africa, Zimbabwe, Namibia, Kenya)","Rhino horn is made entirely of keratin — the same protein found in human fingernails and hair. Despite this, rhino horn is in high demand in traditional medicine markets, driving severe poaching.","Poaching for horn, habitat loss","The white rhinoceros is the largest rhinoceros species and one of the largest land animals. It is not actually white — the name derives from the Afrikaans 'wyd' (wide) for its broad, flat mouth adapted for grazing.",,
